DATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2007-12-05 0:00,"25,400","26,000","25,000","25,650","4,208,569"
2007-12-06 0:00,"26,400","27,200","26,300","26,950","8,883,477"
2007-12-07 0:00,"27,100","28,150","26,450","27,500","9,077,272"
2007-12-10 0:00,"27,150","27,450","26,650","27,000","5,444,833"
2007-12-11 0:00,"27,100","27,300","26,050","26,500","5,025,999"
2007-12-12 0:00,"25,800","26,050","25,300","26,050","6,195,074"
2007-12-13 0:00,"26,450","26,550","25,800","26,000","4,870,974"
2007-12-14 0:00,"25,500","26,000","25,350","25,550","4,201,350"
2007-12-17 0:00,"25,200","26,000","24,950","25,250","3,689,736"
2007-12-18 0:00,"25,100","25,400","24,600","25,250","3,724,869"
2007-12-20 0:00,"25,400","25,450","24,350","24,500","2,833,831"
2007-12-21 0:00,"24,800","24,900","23,500","24,700","3,196,468"
2007-12-24 0:00,"24,800","25,750","24,800","25,750","4,274,037"
2007-12-26 0:00,"26,000","26,550","25,700","25,700","2,519,317"
2007-12-27 0:00,"25,850","26,800","25,450","26,000","2,801,760"
2007-12-28 0:00,"25,850","26,500","25,800","25,950","1,957,218"
2008-01-02 0:00,"26,000","26,100","24,800","24,850","3,440,780"
2008-01-03 0:00,"24,400","24,850","24,100","24,600","2,770,877"
2008-01-04 0:00,"24,500","24,600","24,000","24,400","3,164,048"
2008-01-07 0:00,"23,500","23,800","23,350","23,600","4,062,797"
2008-01-08 0:00,"23,400","23,550","22,950","23,100","3,245,201"
2008-01-09 0:00,"22,650","23,900","22,550","23,500","3,217,076"
2008-01-10 0:00,"23,700","24,100","23,300","23,300","1,980,789"
2008-01-11 0:00,"23,850","24,150","23,350","23,700","3,832,372"
2008-01-14 0:00,"23,800","23,950","23,150","23,250","1,868,227"
2008-01-15 0:00,"23,750","23,950","22,600","22,750","3,431,690"
2008-01-16 0:00,"22,300","22,550","21,800","21,850","4,795,073"
2008-01-17 0:00,"22,300","24,500","22,200","24,500","10,714,366"
2008-01-18 0:00,"24,100","25,050","23,800","24,500","9,942,980"
2008-01-21 0:00,"25,000","25,600","24,900","25,000","7,523,875"
2008-01-22 0:00,"24,400","25,850","24,000","25,000","9,745,690"
2008-01-23 0:00,"25,900","26,100","25,000","25,300","6,163,397"
2008-01-24 0:00,"25,900","26,400","25,650","26,100","5,131,742"
2008-01-25 0:00,"26,100","26,300","25,000","25,150","5,772,990"
2008-01-28 0:00,"24,700","25,350","24,150","24,450","3,506,559"
2008-01-29 0:00,"24,900","25,600","24,650","25,250","4,308,059"
2008-01-30 0:00,"25,600","26,650","25,450","26,100","9,025,016"
2008-01-31 0:00,"26,200","26,450","25,350","26,000","4,468,228"
2008-02-01 0:00,"26,050","26,200","24,850","25,300","5,957,399"
2008-02-04 0:00,"25,900","26,450","25,700","26,000","5,335,745"
2008-02-05 0:00,"25,900","26,400","25,750","26,050","2,539,347"
2008-02-11 0:00,"25,550","26,300","25,350","26,100","3,825,822"
2008-02-12 0:00,"26,450","27,200","26,100","26,250","4,783,467"
2008-02-13 0:00,"26,550","26,800","25,750","25,800","2,743,869"
2008-02-14 0:00,"26,400","26,550","25,800","26,200","4,234,387"
2008-02-15 0:00,"25,800","26,500","25,600","26,000","3,354,368"
2008-02-18 0:00,"25,550","25,850","25,300","25,650","3,023,722"
2008-02-19 0:00,"25,900","25,950","25,250","25,500","3,222,968"
2008-02-20 0:00,"25,350","25,600","24,500","24,600","4,093,336"
2008-02-21 0:00,"24,950","25,050","24,500","24,550","3,190,984"
2008-02-22 0:00,"24,200","24,250","23,500","23,750","5,641,334"
2008-02-25 0:00,"23,850","24,150","23,300","23,500","4,647,320"
2008-02-26 0:00,"23,750","23,850","23,100","23,100","3,754,101"
2008-02-27 0:00,"23,400","24,950","23,300","24,950","5,583,440"
2008-02-28 0:00,"24,700","25,200","24,300","24,900","4,076,337"
2008-02-29 0:00,"24,750","24,750","24,300","24,550","2,448,630"
2008-03-03 0:00,"23,850","24,000","23,300","23,300","4,473,335"
2008-03-04 0:00,"23,700","23,900","23,300","23,650","3,972,577"
2008-03-05 0:00,"23,800","24,600","23,750","24,300","3,918,323"
2008-03-06 0:00,"24,400","25,400","23,900","24,900","6,740,104"
2008-03-07 0:00,"24,400","24,550","23,950","24,050","3,371,537"
2008-03-10 0:00,"23,550","24,150","23,500","23,700","2,244,452"
2008-03-11 0:00,"23,600","24,800","23,300","24,550","3,165,583"
2008-03-12 0:00,"25,400","25,550","24,500","24,500","4,104,595"
2008-03-13 0:00,"24,500","24,800","23,800","23,900","3,069,033"
2008-03-14 0:00,"24,300","24,600","23,550","23,800","2,458,362"
2008-03-17 0:00,"23,350","24,250","22,750","24,000","3,966,402"
2008-03-18 0:00,"24,000","24,200","23,550","24,150","2,744,891"
2008-03-19 0:00,"24,650","24,750","24,100","24,100","3,362,228"
2008-03-20 0:00,"23,800","24,800","23,600","24,750","3,304,085"
2008-03-21 0:00,"25,200","26,250","24,950","26,250","7,573,430"
2008-03-24 0:00,"26,200","26,500","25,850","26,050","3,381,961"
2008-03-25 0:00,"26,550","26,600","25,900","25,900","3,046,637"
2008-03-26 0:00,"26,150","26,850","26,100","26,450","4,662,565"
2008-03-27 0:00,"26,000","26,050","25,300","25,800","5,285,519"
2008-03-28 0:00,"25,550","26,450","25,550","26,300","3,121,447"
2008-03-31 0:00,"26,500","28,000","26,500","27,850","12,337,043"
2008-04-01 0:00,"27,650","28,700","27,250","27,900","7,407,189"
2008-04-02 0:00,"28,800","28,850","28,150","28,150","4,544,842"
2008-04-03 0:00,"28,450","28,500","27,850","28,250","3,046,327"
2008-04-04 0:00,"28,350","28,350","27,600","28,000","2,774,528"
2008-04-07 0:00,"28,000","28,050","27,350","27,450","3,686,099"
2008-04-08 0:00,"27,600","27,700","26,750","26,850","4,726,599"
2008-04-10 0:00,"27,150","27,850","26,950","27,650","4,927,300"
2008-04-11 0:00,"28,000","28,950","27,950","28,950","11,133,910"
2008-04-14 0:00,"28,550","29,450","28,350","28,900","5,397,841"
2008-04-15 0:00,"28,550","28,800","27,600","27,850","6,857,099"
2008-04-16 0:00,"28,350","28,350","27,750","27,800","3,704,662"
2008-04-17 0:00,"28,700","28,950","27,950","28,050","4,626,093"
2008-04-18 0:00,"28,300","28,900","28,200","28,300","3,338,982"
2008-04-21 0:00,"28,750","29,500","28,700","29,350","5,874,179"
2008-04-22 0:00,"29,800","30,200","29,450","29,450","6,268,959"
